load,year,month,day,hour,minute,humidity,temperature
5,2019,8,11,17,10,16.0,152.420002746582
5,2019,8,11,17,20,15.8000001907349,152.420002746582
5,2019,8,11,17,30,15.6999998092651,152.420002746582
5,2019,8,11,17,40,15.8999996185303,152.420002746582
5,2019,8,11,17,50,15.6000003814697,152.059994506836
5,2019,8,11,18,0,15.6000003814697,152.420002746582
5,2019,8,11,18,10,15.5,152.059994506836
5,2019,8,11,18,20,15.3999996185303,152.059994506836
5,2019,8,11,18,30,15.6000003814697,151.879997253418
5,2019,8,11,18,40,15.3999996185303,151.879997253418
5,2019,8,11,18,50,15.5,151.879997253418
5,2019,8,11,19,0,15.3999996185303,151.879997253418
5,2019,8,11,19,10,15.3000001907349,151.879997253418
5,2019,8,11,19,20,15.3000001907349,151.879997253418
5,2019,8,11,19,30,15.3000001907349,151.879997253418
5,2019,8,11,19,50,15.3999996185303,151.879997253418
5,2019,8,11,20,10,15.3000001907349,151.879997253418
5,2019,8,11,20,20,15.1999998092651,151.879997253418
5,2019,8,11,20,30,15.3000001907349,151.879997253418
5,2019,8,11,20,40,15.1999998092651,151.879997253418
5,2019,8,11,20,50,15.1999998092651,151.879997253418
5,2019,8,11,21,10,15.3000001907349,151.520002746582
5,2019,8,11,21,20,15.1999998092651,151.520002746582
5,2019,8,11,21,30,15.1000003814697,151.520002746582
5,2019,8,11,21,40,15.1999998092651,151.520002746582
5,2019,8,11,21,50,15.1999998092651,151.7
5,2019,8,11,22,0,15.1999998092651,151.520002746582
5,2019,8,11,22,10,15.3000001907349,151.520002746582
5,2019,8,11,22,20,15.1000003814697,151.879997253418
5,2019,8,11,22,30,15.1999998092651,151.879997253418
5,2019,8,11,22,40,15.1999998092651,152.059994506836
5,2019,8,11,22,50,15.3000001907349,152.059994506836
5,2019,8,11,23,0,15.3000001907349,151.879997253418
5,2019,8,11,23,10,15.1999998092651,151.879997253418
5,2019,8,11,23,20,15.3000001907349,151.879997253418
5,2019,8,11,23,30,15.1999998092651,151.520002746582
5,2019,8,11,23,40,15.3000001907349,151.879997253418
5,2019,8,11,23,50,15.3999996185303,151.520002746582
5,2019,8,12,0,0,15.3000001907349,151.879997253418
5,2019,8,12,0,10,15.3999996185303,151.879997253418
5,2019,8,12,0,20,15.5,151.879997253418
5,2019,8,12,0,30,15.5,151.7
5,2019,8,12,0,40,15.6000003814697,151.340005493164
5,2019,8,12,1,0,15.5,151.340005493164
5,2019,8,12,1,10,15.6000003814697,151.520002746582
5,2019,8,12,1,20,15.3999996185303,151.879997253418
5,2019,8,12,1,30,15.3999996185303,152.059994506836
5,2019,8,12,1,50,15.3000001907349,151.520002746582
5,2019,8,12,2,0,15.3000001907349,151.879997253418
5,2019,8,12,2,20,15.3999996185303,151.879997253418
5,2019,8,12,2,30,15.3999996185303,151.879997253418
5,2019,8,12,2,40,15.3999996185303,151.7
5,2019,8,12,2,50,15.1999998092651,151.520002746582
5,2019,8,12,3,0,15.3999996185303,151.520002746582
5,2019,8,12,3,10,15.3000001907349,151.340005493164
5,2019,8,12,3,20,15.1999998092651,151.340005493164
5,2019,8,12,3,30,15.1999998092651,151.7
5,2019,8,12,3,40,15.1999998092651,151.340005493164
5,2019,8,12,3,50,15.1999998092651,151.7
5,2019,8,12,4,0,15.1000003814697,151.520002746582
5,2019,8,12,4,10,15.1999998092651,151.7
5,2019,8,12,4,20,15.1000003814697,151.340005493164
5,2019,8,12,4,30,15.0,151.340005493164
5,2019,8,12,4,40,15.1999998092651,151.340005493164
5,2019,8,12,4,50,15.1999998092651,151.340005493164
5,2019,8,12,5,0,15.1999998092651,151.340005493164
5,2019,8,12,5,10,15.1999998092651,151.340005493164
5,2019,8,12,5,20,15.0,151.340005493164
5,2019,8,12,5,30,15.1000003814697,151.7
5,2019,8,12,5,40,15.1000003814697,151.340005493164
5,2019,8,12,6,0,15.0,151.340005493164
5,2019,8,12,6,10,15.1000003814697,151.340005493164
5,2019,8,12,6,20,15.0,151.340005493164
5,2019,8,12,6,30,14.8999996185303,151.340005493164
5,2019,8,12,6,40,14.8999996185303,151.340005493164
5,2019,8,12,6,50,15.0,151.7
5,2019,8,12,7,0,14.8999996185303,151.7
5,2019,8,12,7,10,15.0,151.340005493164
5,2019,8,12,7,20,15.0,151.340005493164
5,2019,8,12,7,30,15.1999998092651,151.340005493164
5,2019,8,12,7,40,15.1999998092651,151.340005493164
5,2019,8,12,7,50,15.1000003814697,151.340005493164
5,2019,8,12,8,0,15.1000003814697,151.520002746582
5,2019,8,12,8,10,14.8999996185303,151.340005493164
5,2019,8,12,8,20,15.1999998092651,151.340005493164
5,2019,8,12,8,30,15.3000001907349,151.340005493164
5,2019,8,12,8,40,15.3000001907349,151.340005493164
5,2019,8,12,8,50,15.1000003814697,151.520002746582
5,2019,8,12,9,0,15.0,151.879997253418
5,2019,8,12,9,10,14.8999996185303,151.879997253418
5,2019,8,12,9,20,15.0,151.879997253418
5,2019,8,12,9,30,14.8000001907349,151.879997253418
5,2019,8,12,9,40,14.8999996185303,151.520002746582
5,2019,8,12,9,50,14.8999996185303,151.879997253418
5,2019,8,12,10,0,15.0,151.879997253418
5,2019,8,12,10,10,14.8999996185303,151.520002746582
5,2019,8,12,10,20,15.0,151.879997253418
5,2019,8,12,10,30,14.8999996185303,151.879997253418
5,2019,8,12,10,40,14.6999998092651,151.879997253418
5,2019,8,12,10,50,14.6999998092651,151.879997253418
5,2019,8,12,11,0,14.5,151.7
5,2019,8,12,11,10,14.6999998092651,151.879997253418
5,2019,8,12,11,20,14.6000003814697,151.879997253418
5,2019,8,12,11,30,14.6999998092651,151.879997253418
5,2019,8,12,11,50,14.6000003814697,152.059994506836
5,2019,8,12,12,0,14.6999998092651,152.059994506836
5,2019,8,12,12,10,14.6000003814697,152.059994506836
5,2019,8,12,12,30,14.6000003814697,152.6
5,2019,8,12,12,40,14.6000003814697,152.420002746582
5,2019,8,12,12,50,14.8000001907349,152.420002746582
5,2019,8,12,13,0,14.6999998092651,152.6
5,2019,8,12,13,10,15.1000003814697,151.879997253418
5,2019,8,12,13,20,14.6000003814697,152.059994506836
5,2019,8,12,13,30,14.6999998092651,152.420002746582
5,2019,8,12,13,50,14.8000001907349,152.059994506836
5,2019,8,12,14,0,14.6999998092651,152.059994506836
